"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1045794752958853120","https://twitter.com/rOpenSci/status/1045794752958853120","Save the date!🗓
Community Call Tues, Oct 16, 2018, 9-10AM Pacific. All are welcome.

Topic: Code review in the lab...or...How do you review code that accompanies a research project or paper? 

Details to come soon!

Find your timezone: https://t.co/Pzuh5gJvJ2 https://t.co/0w2oX00AIl","2018-09-28 21:57 +0000","7767.0","58.0","0.0074674906656366676","13.0","0.0","13.0","5.0","5.0","0.0","22.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1045395545940869120","https://twitter.com/rOpenSci/status/1045395545940869120","@RStudioJoe @cboettig @GregFinak You can read the open software review threads for any of our onboarded packages

- {DataPackageR} https://t.co/NOyt3xkpQj

- {arkdb} https://t.co/hAHXEktudQ

And a really good blog post on {DataPackageR}: https://t.co/01uz8MDjSb

#rstats","2018-09-27 19:31 +0000","3110.0","41.0","0.013183279742765274","5.0","0.0","3.0","1.0","25.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1045391579312152576","https://twitter.com/rOpenSci/status/1045391579312152576","2 rOpenSci 📦's are in @RStudioJoe's Aug 2018 Top 40 New Packages 🎉

- {arkdb} by @cboettig for archiving &amp; unarchiving databases as flat text files

- {DataPackageR} by @GregFinak for reproducible data processing, packaging &amp; sharing

https://t.co/lUBrMhvy77 

#rstats","2018-09-27 19:15 +0000","7022.0","103.0","0.01466818570207918","6.0","1.0","8.0","9.0","73.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1044708122265350145","https://twitter.com/rOpenSci/status/1044708122265350145","Help us build capacity of open source software users &amp; developers with @hacktoberfest

Create an issue label in your repository named hacktoberfest, like these https://t.co/rZFTig49IL to help potential contributors find your issues! https://t.co/FvQ7n65WKO","2018-09-25 22:00 +0000","12790.0","129.0","0.010086004691164973","24.0","0.0","31.0","22.0","20.0","0.0","21.0","0.0","0","0","1","0","0","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1044633837546876929","https://twitter.com/rOpenSci/status/1044633837546876929","@mxwlj @NASASMAP @NOAA @DeCiccoDonk @msciain If you’re psyched on global soil moisture and want to contribute to smapr, @mxwlj says there's room to develop support for more level 2 NASA data products (and explains what those are) under “Want to contribute?” in https://t.co/wyJDw8PSja

cc #NASADatanauts ?","2018-09-25 17:04 +0000","2395.0","23.0","0.009603340292275574","0.0","0.0","1.0","2.0","7.0","1.0","12.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1044633496587710464","https://twitter.com/rOpenSci/status/1044633496587710464","@mxwlj @NASASMAP @NOAA .@mxwlj gives shoutouts to reviewers @DeCiccoDonk &amp; @msciain

Read the open review: https://t.co/2HpaTgoBIT","2018-09-25 17:03 +0000","2730.0","29.0","0.010622710622710623","1.0","1.0","4.0","1.0","17.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1044633365914079233","https://twitter.com/rOpenSci/status/1044633365914079233","@mxwlj In the post, @mxwlj uses soil moisture data from @NASASMAP &amp; precipitation data from @NOAA’s Climate Prediction Center. Having both smapr and rnoaa in the rOpenSci 📦ecosystem increases the accessibility of this kind of analysis","2018-09-25 17:02 +0000","1214.0","9.0","0.007413509060955519","0.0","1.0","3.0","0.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1044632574067302400","https://twitter.com/rOpenSci/status/1044632574067302400","[blog] ""Mapping the 2018 East Africa floods from space with smapr""

New post by Max Joseph @mxwlj in our onboarded software series 

https://t.co/wyJDw8PSja

#rstats

gif: evolution of soil moisture and precipitation in Somalia and Kenya 2015-2018 https://t.co/vqpqAS1anV","2018-09-25 16:59 +0000","17340.0","416.0","0.023990772779700114","43.0","3.0","81.0","27.0","89.0","1.0","37.0","1.0","0","0","2","0","0","2079","132","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1044345735750148096","https://twitter.com/rOpenSci/status/1044345735750148096","Thanks to @nj_tierney for talking about rOpenSci at #uqopenscience. Judging by the tweets you represented us well 😀","2018-09-24 22:00 +0000","5377.0","26.0","0.004835410079970244","2.0","1.0","12.0","3.0","0.0","6.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1044306877125865472","https://twitter.com/rOpenSci/status/1044306877125865472","@PaulHBrittain @MilesMcBain oops - should have checked your profile to see that you're a software engineer

We’d appreciate your perspective with more complex software, for example. 

If you're interested, here is the volunteer review form: https://t.co/AuDPrWW2p0","2018-09-24 19:25 +0000","119.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
